lId,iReport,sName,sUnit,sEquation,sDescription,sRemark,-1,code versie 5.09.00,code versie 5.09.00,code versie 5.09.00,code versie 5.09.00,v00-v01,v00-v02,v00-v03
36,0,_sNO3WEpi0_,_gN_*_m_^-2,-,N_in_NO3_in_epilimnion_lake_water,-,-1,_sNO3WEpi0_ = _cNO3WEpi0_ *_MassEpi0_,_sNO3WEpi0_ = _cNO3WEpi0_ *_MassEpi0_,_sNO3WEpi0_ = _cNO3WEpi0_ *_MassEpi0_,_sNO3WEpi0_ = _cNO3WEpi0_ *_MassEpi0_,TRUE,TRUE,TRUE
37,0,_sPO4WEpi0_,_gP_*_m_^-2,-,P_in_PO4_in_epilimnion_lake_water,-,-1,_sPO4WEpi0_ = _cPO4WEpi0_ *_MassEpi0_,_sPO4WEpi0_ = _cPO4WEpi0_ *_MassEpi0_,_sPO4WEpi0_ = _cPO4WEpi0_ *_MassEpi0_,_sPO4WEpi0_ = _cPO4WEpi0_ *_MassEpi0_,TRUE,TRUE,TRUE
38,0,_sPAIMWEpi0_,_gP_*_m_^-2,-,P_adsorbed_onto_IM_in_epilimnion_lake_water,-,-1,_sPAIMWEpi0_ = _cPAIMWEpi0_ *_MassEpi0_,_sPAIMWEpi0_ = _cPAIMWEpi0_ *_MassEpi0_,_sPAIMWEpi0_ = _cPAIMWEpi0_ *_MassEpi0_,_sPAIMWEpi0_ = _cPAIMWEpi0_ *_MassEpi0_,TRUE,TRUE,TRUE
39,0,_sSiO2WEpi0_,_gSi_*_m_^-2,-,Dissolved_Si_in_epilimnion_lake_water,-,-1,_sSiO2WEpi0_ = _cSiO2WEpi0_ * _MassEpi0_,_sSiO2WEpi0_ = _cSiO2WEpi0_ * _MassEpi0_,_sSiO2WEpi0_ = _cSiO2WEpi0_ * _MassEpi0_,_sSiO2WEpi0_ = _cSiO2WEpi0_ * _MassEpi0_,TRUE,TRUE,TRUE
40,0,_sO2WEpi0_,_gO2_*_m_^-2,-,Oxygen_in_epilimnion_lake_water,-,-1,_sO2WEpi0_ = _cO2WEpi0_ *_MassEpi0_,_sO2WEpi0_ = _cO2WEpi0_ *_MassEpi0_,_sO2WEpi0_ = _cO2WEpi0_ *_MassEpi0_,_sO2WEpi0_ = _cO2WEpi0_ *_MassEpi0_,TRUE,TRUE,TRUE
41,0,_sDDetWEpi0_,_gDW_*_m_^-2,-,Detritus_DW_in_epilimnion_lake_water,-,-1,_sDDetWEpi0_ = _cDDetWEpi0_ *_MassEpi0_,_sDDetWEpi0_ = _cDDetWEpi0_ *_MassEpi0_,_sDDetWEpi0_ = _cDDetWEpi0_ *_MassEpi0_,_sDDetWEpi0_ = _cDDetWEpi0_ *_MassEpi0_,TRUE,TRUE,TRUE
42,0,_sNDetWEpi0_,_gN_*_m_^-2,-,Detritus_N_in_epilimnion_lake_water,-,-1,_sNDetWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDet0_ * _sDDetWEpi0_ _ELSE_ _cNDetWEpi0_ *_MassEpi0_ _ENDIF_ ,_sNDetWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDet0_ * _sDDetWEpi0_ _ELSE_ _cNDetWEpi0_ *_MassEpi0_ _ENDIF_ ,_sNDetWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDet0_ * _sDDetWEpi0_ _ELSE_ _cNDetWEpi0_ *_MassEpi0_ _ENDIF_ ,_sNDetWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDet0_ * _sDDetWEpi0_ _ELSE_ _cNDetWEpi0_ *_MassEpi0_ _ENDIF_ ,TRUE,TRUE,TRUE
43,0,_sPDetWEpi0_,_gP_*_m_^-2,-,Detritus_P_in_epilimnion_lake_water,-,-1,_sPDetWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDet0_ * _sDDetWEpi0_ _ELSE_ _cPDetWEpi0_ *_MassEpi0_ _ENDIF_,_sPDetWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDet0_ * _sDDetWEpi0_ _ELSE_ _cPDetWEpi0_ *_MassEpi0_ _ENDIF_,_sPDetWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDet0_ * _sDDetWEpi0_ _ELSE_ _cPDetWEpi0_ *_MassEpi0_ _ENDIF_,_sPDetWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDet0_ * _sDDetWEpi0_ _ELSE_ _cPDetWEpi0_ *_MassEpi0_ _ENDIF_,TRUE,TRUE,TRUE
44,0,_sSiDetWEpi0_,_gSi_*_m_^-2,-,Detritus_Si_in_epilimnion_lake_water,-,-1,_sSiDetWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cSiDDet0_ * _sDDetWEpi0_ _ELSE_ _cSiDetWEpi0_ *_MassEpi0_ _ENDIF_,_sSiDetWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cSiDDet0_ * _sDDetWEpi0_ _ELSE_ _cSiDetWEpi0_ *_MassEpi0_ _ENDIF_,_sSiDetWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cSiDDet0_ * _sDDetWEpi0_ _ELSE_ _cSiDetWEpi0_ *_MassEpi0_ _ENDIF_,_sSiDetWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cSiDDet0_ * _sDDetWEpi0_ _ELSE_ _cSiDetWEpi0_ *_MassEpi0_ _ENDIF_,TRUE,TRUE,TRUE
45,0,_sDIMWEpi0_,_gDW_*_m_^-2,-,Inorganic_matter_in_epilimnion_lake_water,-,-1,_sDIMWEpi0_ = _cDIMWEpi0_ *_MassEpi0_,_sDIMWEpi0_ = _cDIMWEpi0_ *_MassEpi0_,_sDIMWEpi0_ = _cDIMWEpi0_ *_MassEpi0_,_sDIMWEpi0_ = _cDIMWEpi0_ *_MassEpi0_,TRUE,TRUE,TRUE
46,0,_sDDiatWEpi0_,_gDW_*_m_^-2,-,Diatoms_DW_in_epilimnion_lake_water,-,-1,_sDDiatWEpi0_ = _cDDiatWEpi0_ *_MassEpi0_,_sDDiatWEpi0_ = _cDDiatWEpi0_ *_MassEpi0_,_sDDiatWEpi0_ = _cDDiatWEpi0_ *_MassEpi0_,_sDDiatWEpi0_ = _cDDiatWEpi0_ *_MassEpi0_,TRUE,TRUE,TRUE
47,0,_sNDiatWEpi0_,_gN_*_m_^-2,-,Diatoms_N_in_epilimnion_lake_water,-,-1,_sNDiatWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDiat0_ * _sDDiatWEpi0_ _ELSE_ _cNDiatWEpi0_ *_MassEpi0_ _ENDIF_,_sNDiatWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDiat0_ * _sDDiatWEpi0_ _ELSE_ _cNDiatWEpi0_ *_MassEpi0_ _ENDIF_,_sNDiatWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDiat0_ * _sDDiatWEpi0_ _ELSE_ _cNDiatWEpi0_ *_MassEpi0_ _ENDIF_,_sNDiatWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDiat0_ * _sDDiatWEpi0_ _ELSE_ _cNDiatWEpi0_ *_MassEpi0_ _ENDIF_,TRUE,TRUE,TRUE
48,0,_sPDiatWEpi0_,_gP_*_m_^-2,-,Diatoms_P_in_epilimnion_lake_water,-,-1,_sPDiatWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDiat0_ * _sDDiatWEpi0_ _ELSE_ _cPDiatWEpi0_ *_MassEpi0_ _ENDIF_,_sPDiatWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDiat0_ * _sDDiatWEpi0_ _ELSE_ _cPDiatWEpi0_ *_MassEpi0_ _ENDIF_,_sPDiatWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDiat0_ * _sDDiatWEpi0_ _ELSE_ _cPDiatWEpi0_ *_MassEpi0_ _ENDIF_,_sPDiatWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDiat0_ * _sDDiatWEpi0_ _ELSE_ _cPDiatWEpi0_ *_MassEpi0_ _ENDIF_,TRUE,TRUE,TRUE
49,0,_sDGrenWEpi0_,_gDW_*_m_^-2,-,Green_algae_DW_in_epilimnion_lake_water,-,-1,_sDGrenWEpi0_ = _cDGrenWEpi0_ *_MassEpi0_,_sDGrenWEpi0_ = _cDGrenWEpi0_ *_MassEpi0_,_sDGrenWEpi0_ = _cDGrenWEpi0_ *_MassEpi0_,_sDGrenWEpi0_ = _cDGrenWEpi0_ *_MassEpi0_,TRUE,TRUE,TRUE
50,0,_sNGrenWEpi0_,_gN_*_m_^-2,-,Green_algae_N_in_epilimnion_lake_water,-,-1,_sNGrenWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDGren0_ * _sDGrenWEpi0_ _ELSE_ _cNGrenWEpi0_ *_MassEpi0_ _ENDIF_,_sNGrenWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDGren0_ * _sDGrenWEpi0_ _ELSE_ _cNGrenWEpi0_ *_MassEpi0_ _ENDIF_,_sNGrenWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDGren0_ * _sDGrenWEpi0_ _ELSE_ _cNGrenWEpi0_ *_MassEpi0_ _ENDIF_,_sNGrenWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDGren0_ * _sDGrenWEpi0_ _ELSE_ _cNGrenWEpi0_ *_MassEpi0_ _ENDIF_,TRUE,TRUE,TRUE
51,0,_sPGrenWEpi0_,_gP_*_m_^-2,-,Green_algae_P_in_epilimnion_lake_water,-,-1,_sPGrenWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDGren0_ * _sDGrenWEpi0_ _ELSE_ _cPGrenWEpi0_ *_MassEpi0_ _ENDIF_,_sPGrenWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDGren0_ * _sDGrenWEpi0_ _ELSE_ _cPGrenWEpi0_ *_MassEpi0_ _ENDIF_,_sPGrenWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDGren0_ * _sDGrenWEpi0_ _ELSE_ _cPGrenWEpi0_ *_MassEpi0_ _ENDIF_,_sPGrenWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDGren0_ * _sDGrenWEpi0_ _ELSE_ _cPGrenWEpi0_ *_MassEpi0_ _ENDIF_,TRUE,TRUE,TRUE
52,0,_sDBlueWEpi0_,_gDW_*_m_^-2,-,Blue-greens_DW_in_epilimnion_lake_water,-,-1,_sDBlueWEpi0_ = _cDBlueWEpi0_ *_MassEpi0_,_sDBlueWEpi0_ = _cDBlueWEpi0_ *_MassEpi0_,_sDBlueWEpi0_ = _cDBlueWEpi0_ *_MassEpi0_,_sDBlueWEpi0_ = _cDBlueWEpi0_ *_MassEpi0_,TRUE,TRUE,TRUE
53,0,_sNBlueWEpi0_,_gN_*_m_^-2,-,Blue-greens_N_in_epilimnion_lake_water,-,-1,_sNBlueWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDBlue0_ * _sDBlueWEpi0_ _ELSE_ _cNBlueWEpi0_ *_MassEpi0_ _ENDIF_,_sNBlueWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDBlue0_ * _sDBlueWEpi0_ _ELSE_ _cNBlueWEpi0_ *_MassEpi0_ _ENDIF_,_sNBlueWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDBlue0_ * _sDBlueWEpi0_ _ELSE_ _cNBlueWEpi0_ *_MassEpi0_ _ENDIF_,_sNBlueWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDBlue0_ * _sDBlueWEpi0_ _ELSE_ _cNBlueWEpi0_ *_MassEpi0_ _ENDIF_,TRUE,TRUE,TRUE
54,0,_sPBlueWEpi0_,_gP_*_m_^-2,-,Blue-greens_P_in_epilimnion_lake_water,-,-1,_sPBlueWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDBlue0_ * _sDBlueWEpi0_ _ELSE_ _cPBlueWEpi0_ *_MassEpi0_ _ENDIF_,_sPBlueWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDBlue0_ * _sDBlueWEpi0_ _ELSE_ _cPBlueWEpi0_ *_MassEpi0_ _ENDIF_,_sPBlueWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDBlue0_ * _sDBlueWEpi0_ _ELSE_ _cPBlueWEpi0_ *_MassEpi0_ _ENDIF_,_sPBlueWEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDBlue0_ * _sDBlueWEpi0_ _ELSE_ _cPBlueWEpi0_ *_MassEpi0_ _ENDIF_,TRUE,TRUE,TRUE
55,0,_sDZooEpi0_,_gDW_*_m_^-2,-,Zooplankton_DW_in_epilimnion_lake_water,-,-1,_sDZooEpi0_ = _cDZooEpi0_ *_MassEpi0_,_sDZooEpi0_ = _cDZooEpi0_ *_MassEpi0_,_sDZooEpi0_ = _cDZooEpi0_ *_MassEpi0_,_sDZooEpi0_ = _cDZooEpi0_ *_MassEpi0_,TRUE,TRUE,TRUE
56,0,_sNZooEpi0_,_gN_*_m_^-2,-,Zooplankton_N_in_epilimnion_lake_water,-,-1,_sNZooEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDZooRef_ * _sDZooEpi0_ _ELSE_ _cNZooEpi0_ *_MassEpi0_ _ENDIF_,_sNZooEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDZooRef_ * _sDZooEpi0_ _ELSE_ _cNZooEpi0_ *_MassEpi0_ _ENDIF_,_sNZooEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDZooRef_ * _sDZooEpi0_ _ELSE_ _cNZooEpi0_ *_MassEpi0_ _ENDIF_,_sNZooEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDZooRef_ * _sDZooEpi0_ _ELSE_ _cNZooEpi0_ *_MassEpi0_ _ENDIF_,TRUE,TRUE,TRUE
57,0,_sPZooEpi0_,_gP_*_m_^-2,-,Zooplankton_P_in_epilimnion_lake_water,-,-1,_sPZooEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDZooRef_ * _sDZooEpi0_ _ELSE_ _cPZooEpi0_ *_MassEpi0_ _ENDIF_,_sPZooEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDZooRef_ * _sDZooEpi0_ _ELSE_ _cPZooEpi0_ *_MassEpi0_ _ENDIF_,_sPZooEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDZooRef_ * _sDZooEpi0_ _ELSE_ _cPZooEpi0_ *_MassEpi0_ _ENDIF_,_sPZooEpi0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDZooRef_ * _sDZooEpi0_ _ELSE_ _cPZooEpi0_ *_MassEpi0_ _ENDIF_,TRUE,TRUE,TRUE
58,0,_sDBlueSurf0_,_gDW_*_m_^-2,-,Blue-greens_DW_in_epilimnion_lake_water,-,-1,_sDBlueSurf0_ = _IF_ (_InclSurf_ _EQ_ _TRUE_) _THEN_ _cDBlueSurf0_ _ELSE_ 0.0 _ENDIF_,_sDBlueSurf0_ = _IF_ (_InclSurf_ _EQ_ _TRUE_) _THEN_ _cDBlueSurf0_ _ELSE_ 0.0 _ENDIF_,_sDBlueSurf0_ = _IF_ (_InclSurf_ _EQ_ _TRUE_) _THEN_ _cDBlueSurf0_ _ELSE_ 0.0 _ENDIF_,_sDBlueSurf0_ = _IF_ (_InclSurf_ _EQ_ _TRUE_) _THEN_ _cDBlueSurf0_ _ELSE_ 0.0 _ENDIF_,TRUE,TRUE,TRUE
59,0,_sNBlueSurf0_,_gN_*_m_^-2,-,Blue-greens_N_in_epilimnion_lake_water,-,-1,_sNBlueSurf0_ = _IF_ (_InclSurf_ _EQ_ _TRUE_) _THEN_ _cNBlueSurf0_ _ELSE_ 0.0 _ENDIF_,_sNBlueSurf0_ = _IF_ (_InclSurf_ _EQ_ _TRUE_) _THEN_ _cNBlueSurf0_ _ELSE_ 0.0 _ENDIF_,_sNBlueSurf0_ = _IF_ (_InclSurf_ _EQ_ _TRUE_) _THEN_ _cNBlueSurf0_ _ELSE_ 0.0 _ENDIF_,_sNBlueSurf0_ = _IF_ (_InclSurf_ _EQ_ _TRUE_) _THEN_ _cNBlueSurf0_ _ELSE_ 0.0 _ENDIF_,TRUE,TRUE,TRUE
60,0,_sPBlueSurf0_,_gP_*_m_^-2,-,Blue-greens_P_in_epilimnion_lake_water,-,-1,_sPBlueSurf0_ = _IF_ (_InclSurf_ _EQ_ _TRUE_) _THEN_ _cPBlueSurf0_ _ELSE_ 0.0 _ENDIF_,_sPBlueSurf0_ = _IF_ (_InclSurf_ _EQ_ _TRUE_) _THEN_ _cPBlueSurf0_ _ELSE_ 0.0 _ENDIF_,_sPBlueSurf0_ = _IF_ (_InclSurf_ _EQ_ _TRUE_) _THEN_ _cPBlueSurf0_ _ELSE_ 0.0 _ENDIF_,_sPBlueSurf0_ = _IF_ (_InclSurf_ _EQ_ _TRUE_) _THEN_ _cPBlueSurf0_ _ELSE_ 0.0 _ENDIF_,TRUE,TRUE,TRUE
61,0,_sNH4S0_,_gN_*_m_^-2,-,N_in_NH4_in_lake_sediment_pore_water,-,-1,_sNH4S0_ = _cNH4S0_,_sNH4S0_ = _cNH4S0_,_sNH4S0_ = _cNH4S0_,_sNH4S0_ = _cNH4S0_,TRUE,TRUE,TRUE
62,0,_sNO3S0_,_gN_*_m_^-2,-,N_in_NO3_in_lake_sediment_pore_water,-,-1,_sNO3S0_ = _cNO3S0_,_sNO3S0_ = _cNO3S0_,_sNO3S0_ = _cNO3S0_,_sNO3S0_ = _cNO3S0_,TRUE,TRUE,TRUE
63,0,_bRhoSolidS0_,_gDW_*_m_^-3,-,Average_density_of_solid_material,-,-1,_bRhoSolidS0_ = _fDOrgS0_ * _cRhoOM_ + (1.0 - _fDOrgS0_) * _cRhoIM_,_bRhoSolidS0_ = _fDOrgS0_ * _cRhoOM_ + (1.0 - _fDOrgS0_) * _cRhoIM_,_bRhoSolidS0_ = _fDOrgS0_ * _cRhoOM_ + (1.0 - _fDOrgS0_) * _cRhoIM_,_bRhoSolidS0_ = _fDOrgS0_ * _cRhoOM_ + (1.0 - _fDOrgS0_) * _cRhoIM_,TRUE,TRUE,TRUE
64,0,_bPorS0_,_m_^3*_m_^-3,-,Porosity,-,-1,_bPorS0_ = (1.0 - _fDTotS0_) * _bRhoSolidS0_ / _cRhoWat_ / ( _fDTotS0_ + (1.0 - _fDTotS0_) * _bRhoSolidS0_ / _cRhoWat_ ),_bPorS0_ = (1.0 - _fDTotS0_) * _bRhoSolidS0_ / _cRhoWat_ / ( _fDTotS0_ + (1.0 - _fDTotS0_) * _bRhoSolidS0_ / _cRhoWat_ ),_bPorS0_ = (1.0 - _fDTotS0_) * _bRhoSolidS0_ / _cRhoWat_ / ( _fDTotS0_ + (1.0 - _fDTotS0_) * _bRhoSolidS0_ / _cRhoWat_ ),_bPorS0_ = (1.0 - _fDTotS0_) * _bRhoSolidS0_ / _cRhoWat_ / ( _fDTotS0_ + (1.0 - _fDTotS0_) * _bRhoSolidS0_ / _cRhoWat_ ),TRUE,TRUE,TRUE
65,0,_bRhoTotS0_,_gDW_*_m_^-3,-,Bulk_density_of_sediment,-,-1,_bRhoTotS0_ = _bRhoSolidS0_ * (1.0 - _bPorS0_),_bRhoTotS0_ = _bRhoSolidS0_ * (1.0 - _bPorS0_),_bRhoTotS0_ = _bRhoSolidS0_ * (1.0 - _bPorS0_),_bRhoTotS0_ = _bRhoSolidS0_ * (1.0 - _bPorS0_),TRUE,TRUE,TRUE
66,0,_bDTotS0_,_gDW_*_m_^-2,-,Total_dry-weight_in_top_layer,-,-1,_bDTotS0_ = _bRhoTotS0_ * _cDepthS_,_bDTotS0_ = _bRhoTotS0_ * _cDepthS_,_bDTotS0_ = _bRhoTotS0_ * _cDepthS_,_bDTotS0_ = _bRhoTotS0_ * _cDepthS_,TRUE,TRUE,TRUE
67,0,_sPO4S0_,_gP_*_m_^-2,-,P_in_PO4_in_lake_sediment_pore_water,-,-1,_sPO4S0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ (1.0 - _fPAdsS0_) * _fPInorgS0_ * _bDTotS0_ _ELSE_ _cPO4S0_ _ENDIF_,_sPO4S0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ (1.0 - _fPAdsS0_) * _fPInorgS0_ * _bDTotS0_ _ELSE_ _cPO4S0_ _ENDIF_,_sPO4S0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ (1.0 - _fPAdsS0_) * _fPInorgS0_ * _bDTotS0_ _ELSE_ _cPO4S0_ _ENDIF_,_sPO4S0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ (1.0 - _fPAdsS0_) * _fPInorgS0_ * _bDTotS0_ _ELSE_ _cPO4S0_ _ENDIF_,TRUE,TRUE,TRUE
68,0,_sPAIMS0_,_gP_*_m_^-2,-,P_adsorbed_onto_IM_in_lake_sediment,-,-1,_sPAIMS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _fPAdsS0_ * _fPInorgS0_ * _bDTotS0_ _ELSE_ _cPAIMS0_ _ENDIF_,_sPAIMS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _fPAdsS0_ * _fPInorgS0_ * _bDTotS0_ _ELSE_ _cPAIMS0_ _ENDIF_,_sPAIMS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _fPAdsS0_ * _fPInorgS0_ * _bDTotS0_ _ELSE_ _cPAIMS0_ _ENDIF_,_sPAIMS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _fPAdsS0_ * _fPInorgS0_ * _bDTotS0_ _ELSE_ _cPAIMS0_ _ENDIF_,TRUE,TRUE,TRUE
69,0,_sDDetS0_,_gDW_*_m_^-2,-,Detritus_DW_in_lake_sediment,-,-1,_sDDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _fDDetS0_ * _fDOrgS0_ * _bDTotS0_ _ELSE_ _cDDetS0_ _ENDIF_,_sDDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _fDDetS0_ * _fDOrgS0_ * _bDTotS0_ _ELSE_ _cDDetS0_ _ENDIF_,_sDDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _fDDetS0_ * _fDOrgS0_ * _bDTotS0_ _ELSE_ _cDDetS0_ _ENDIF_,_sDDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _fDDetS0_ * _fDOrgS0_ * _bDTotS0_ _ELSE_ _cDDetS0_ _ENDIF_,TRUE,TRUE,TRUE
70,0,_sNDetS0_,_gN_*_m_^-2,-,Detritus_N_in_lake_sediment,-,-1,_sNDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDet0_ * _sDDetS0_ _ELSE_ _cNDetS0_ _ENDIF_,_sNDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDet0_ * _sDDetS0_ _ELSE_ _cNDetS0_ _ENDIF_,_sNDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDet0_ * _sDDetS0_ _ELSE_ _cNDetS0_ _ENDIF_,_sNDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDet0_ * _sDDetS0_ _ELSE_ _cNDetS0_ _ENDIF_,TRUE,TRUE,TRUE
71,0,_sPDetS0_,_gP_*_m_^-2,-,Detritus_P_in_lake_sediment,-,-1,_sPDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDet0_ * _sDDetS0_ _ELSE_ _cPDetS0_ _ENDIF_,_sPDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDet0_ * _sDDetS0_ _ELSE_ _cPDetS0_ _ENDIF_,_sPDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDet0_ * _sDDetS0_ _ELSE_ _cPDetS0_ _ENDIF_,_sPDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDet0_ * _sDDetS0_ _ELSE_ _cPDetS0_ _ENDIF_,TRUE,TRUE,TRUE
72,0,_sSiDetS0_,_gSi_*_m_^-2,-,Detritus_Si_in_lake_sediment,-,-1,_sSiDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cSiDDet0_ * _sDDetS0_ _ELSE_ _cSiDetS0_ _ENDIF_,_sSiDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cSiDDet0_ * _sDDetS0_ _ELSE_ _cSiDetS0_ _ENDIF_,_sSiDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cSiDDet0_ * _sDDetS0_ _ELSE_ _cSiDetS0_ _ENDIF_,_sSiDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cSiDDet0_ * _sDDetS0_ _ELSE_ _cSiDetS0_ _ENDIF_,TRUE,TRUE,TRUE
